,employee_id,name,position,department,company_id
0,48042062-3de3-4768-88c6-32f1a58aea89,Noah Williams MD,Corporate Factors Agent,Computers,0c6ffffa-4a5a-4ebe-ad23-9d66ec703da4
1,ce662e81-e93a-4b28-ad2d-93dc3b1ebd2b,Leslie Harmon,Customer Solutions Supervisor,Shoes,0c6ffffa-4a5a-4ebe-ad23-9d66ec703da4
2,c2d0b427-5294-474e-aa4b-fb846352b8b1,Martin Harris,Future Infrastructure Specialist,Health,0c6ffffa-4a5a-4ebe-ad23-9d66ec703da4
3,a23a4c7f-86f7-4ffb-89e3-3f6fab72b26c,Joseph Phillips,Human Tactics Designer,Outdoors,0c6ffffa-4a5a-4ebe-ad23-9d66ec703da4
4,6d969266-9dfb-4a3d-b7d6-1f67470ded64,Sean Johnson,Forward Functionality Liaison,Garden,0c6ffffa-4a5a-4ebe-ad23-9d66ec703da4
5,b47bac70-9a91-4597-aa2d-0366f0686fe6,Cynthia Ibarra,National Interactions Developer,Beauty,0a14ce3b-9e13-4f34-888d-9861df07b561
6,d4611ca6-4d5c-4d48-9e69-0dcb14febf28,Anthony Bullock,Direct Data Developer,Beauty,322555eb-3dd3-49d8-99ff-dc495bb375c7
7,891167bf-5a21-40f9-8bdd-fe861d9981d1,Stacey Clark,Future Operations Liaison,Jewelery,322555eb-3dd3-49d8-99ff-dc495bb375c7
8,a81f0d34-398b-4505-8b0d-beb87144f985,Mary Williams,Product Optimization Analyst,Home,322555eb-3dd3-49d8-99ff-dc495bb375c7
9,cd6f26af-610d-4f82-b390-4258292e84eb,Sheila Garcia,Corporate Creative Assistant,Toys,322555eb-3dd3-49d8-99ff-dc495bb375c7
10,d6e68de3-1f34-4a07-bf73-bdc0cbfccedf,Bryan Lindsey,Legacy Applications Facilitator,Electronics,322555eb-3dd3-49d8-99ff-dc495bb375c7
11,8fca1b87-ad14-48d2-afba-7533717c60fd,Jacob Thornton,Corporate Usability Developer,Health,322555eb-3dd3-49d8-99ff-dc495bb375c7
12,914bf7c2-326a-4d73-a12e-0320f8a7cb33,Mr. Robert Braun,Global Intranet Orchestrator,Electronics,322555eb-3dd3-49d8-99ff-dc495bb375c7
13,c4dd3db6-1f21-4e84-880f-eba01a9ab770,Michael White,Dynamic Functionality Officer,Shoes,322555eb-3dd3-49d8-99ff-dc495bb375c7
14,ce23a89e-5288-438c-a95e-ce1fd24fe055,Tammy Herman,Internal Intranet Technician,Tools,322555eb-3dd3-49d8-99ff-dc495bb375c7
